Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,sp,TSP,PP,TPP,CP,TCP,Vat,vat value,total cost
111001059,Ginsana * G115 Caps   bot/30,P0295101,536309,8/1/2030,1,28.85,28.85,28.85,28.85,15.51,15.51,0,0,15.51
111004200,Glacera 15 mg Tab,23db63,511810,8/1/2030,1,37.8,37.8,37.8,37.8,22.37,22.37,0,0,22.37
111004700,Glacera Plus 15Mg/850Mg 60 Tab,23de07,511811,8/1/2030,1,83.75,83.75,83.75,83.75,56.08,56.08,0,0,56.08
111003925,Glados 15 mg 30 tab,3SL049,526694,8/1/2030,1,42,42,42,42,29.4,29.4,0,0,29.4
111003925,Glados 15 mg 30 tab,3SL047,527942,8/1/2030,1,42,42,42,42,29.17,29.17,0,0,29.17
111003787,Glados 30mg 30Tab,4SM071,547534,8/1/2030,1,71.3,71.3,49.6,49.6,49.6,49.6,0,0,49.6
111003787,Glados 30mg 30Tab,4SM071,547514,8/1/2030,1,71.3,71.3,62,62,62,62,0,0,62
111001066,Glim 1mg 30 tab,1,545006,8/1/2030,1,19.75,19.75,9.51,9.51,9.51,9.51,0,0,9.51
111001066,Glim 1mg 30 tab,1154863,516822,8/1/2030,2,19.75,39.5,19.75,39.5,11.85,23.7,0,0,23.7
111001066,Glim 1mg 30 tab,1142847,536717,8/1/2030,1,19.75,19.75,19.75,19.75,11.35,11.35,0,0,11.35
111001068,Glim 3mg 30 tab,2001048,541038,8/1/2030,2,44.8,89.6,44.8,89.6,26.88,53.76,0,0,53.76
111001069,Glim 4mg 30 tab,1152111,541039,8/1/2030,2,47.25,94.5,47.25,94.5,28.35,56.7,0,0,56.7
111003356,Glim 6mg 30 tab,1147988,531308,8/1/2030,1,49.75,49.75,29.85,29.85,29.85,29.85,0,0,29.85
111003312,Gliptamet Tab 50/1000 Mg 56 P,1155404,541040,8/1/2030,1,114,114,114,114,94.18,94.18,0,0,94.18
111002743,Gloclav 1g 14 Tab,Q580,549333,8/1/2030,2,56.8,113.6,56.8,113.6,26.51,53.02,0,0,53.02
111001073,Gloclav 625 mg tab,q291,499470,8/1/2030,1,48,48,48,48,18.29,18.29,0,0,18.29
111001077,Glomox 500mg 20 cap,Q704,549334,8/1/2030,2,13.2,26.4,13.2,26.4,7.37,14.74,0,0,14.74
111001084,Glovit Biotonic cap,gg-1223,517563,8/1/2030,1,21,21,21,21,14.58,14.58,0,0,14.58
111001085,Glovit-cal 30cap,GG-1259,532145,8/1/2030,1,21,21,21,21,14.58,14.58,0,0,14.58
111004109,Glucare 500mg 50 tab,8072,541230,8/1/2030,1,7,7,7,7,4.49,4.49,0,0,4.49
111004148,Glucare 850mg 60 Tab,4386,514459,8/1/2030,2,13.95,27.9,13.95,27.9,8.94,17.89,0,0,17.89
111003734,Glucare XR 500mg 30Tab,5103,514460,8/1/2030,1,14.15,14.15,14.15,14.15,9.07,9.07,0,0,9.07
111003734,Glucare XR 500mg 30Tab,6205,523967,8/1/2030,2,14.15,28.3,14.15,28.3,9.91,19.81,0,0,19.81
111003734,Glucare XR 500mg 30Tab,5606,520131,8/1/2030,1,14.15,14.15,14.15,14.15,9.07,9.07,0,0,9.07
111003845,Glucare XR 750mg 60tab,6983,527948,8/1/2030,1,42.5,42.5,42.5,42.5,27.24,27.24,0,0,27.24
111001090,Glucophage 1000mg 30tab,YX0453,543910,8/1/2030,3,19.85,59.55,19.85,59.55,16.54,49.63,0,0,49.63
111001093,Glucophage 850mg 30tab,Y08936,538245,8/1/2030,4,15.4,61.6,15.4,61.6,12.83,51.34,0,0,51.34
111003155,Glucophage XR 750mg tab,YX0617,549287,8/1/2030,10,25,250,25,250,20.84,208.35,0,0,208.35
111001096,Glucovance 500/5mg 30 tab,YX0545,549288,8/1/2030,4,23.45,93.8,23.45,93.8,19.54,78.17,0,0,78.17
121021845,Glupa Gltathio+Papaya Skin Whitening Soap 135gm,1,515594,8/1/2030,2,46,92,33,66,33,66,0.15,9.9,75.9
121001770,Glysolid Body Lotion Musk 500ml,1,515701,8/1/2030,1,27,27,23.48,23.48,23.48,23.48,0.15,3.52,27
121001770,Glysolid Body Lotion Musk 500ml,1,496432,8/1/2030,2,27,54,21.88,43.76,21.88,43.76,0.15,6.56,50.32
121001770,Glysolid Body Lotion Musk 500ml,3333,513329,8/1/2030,1,27,27,23.48,23.48,23.48,23.48,0.15,3.52,27
121001772,Glysolid Cream 100ml Tube,1,515704,8/1/2030,7,17,119,9.7,67.9,9.7,67.9,0.15,10.19,78.09
121001773,Glysolid Cream 175ml,1,496433,8/1/2030,3,20,60,12.21,36.63,12.21,36.63,0.15,5.49,42.12
121001774,Glysolid Cream 250 ml,1,537861,8/1/2030,3,25,75,13.91,41.73,13.91,41.73,0.15,6.26,47.99
121001776,Glysolid Cream 30ml Tube,1,548052,8/1/2030,11,9,99,4.6,50.6,4.6,50.6,0.15,7.59,58.19
121001777,Glysolid Cream 400 ml,1,534029,8/1/2030,2,33,66,22.15,44.3,22.15,44.3,0.15,6.65,50.95
121001777,Glysolid Cream 400 ml,1,546871,8/1/2030,6,33,198,22.15,132.9,22.15,132.9,0.15,19.94,152.84
121011812,Glysolid Cream 80ml,1,548051,8/1/2030,10,15,150,8.4,84,8.4,84,0.15,12.6,96.6
121017103,Glysolid Lotion Beauty Q10 250ml,1,513326,8/1/2030,4,19,76,13.26,53.04,13.26,53.04,0.15,7.96,61
121017104,Glysolid Lotion Beauty Q10 500ml,1,513327,8/1/2030,2,27,54,23.58,47.16,23.58,47.16,0.15,7.07,54.23
121021319,Glysolid Lotion Classic 250ml,1,501165,8/1/2030,2,20,40,13.77,27.54,13.77,27.54,0.15,4.13,31.67
111001104,Gripewater Syrup,2406499,546137,8/1/2030,4,30.43,121.72,30.43,121.72,26.02,104.07,0,0,104.07
111001104,Gripewater Syrup,2406499,547482,8/1/2030,2,30.43,60.86,26.02,52.04,26.02,52.04,0,0,52.04
121020233,Grnie Collection 9049,1,458384,8/1/2030,1,21.74,21.74,6.96,6.96,13.91,13.91,0.15,2.09,16
121016908,Gulf Povidine Iodine Solution 100ml,1,513444,8/1/2030,1,22,22,11,11,11,11,0,0,11
111004768,Gumazing Multivitamin For Kids 60gumm,1,547421,8/1/2030,5,100,500,55,275,55,275,0.15,41.25,316.25
111001106,Gupisone 5mg 20tab,3878,531315,8/1/2030,2,8.45,16.9,6.69,13.38,6.69,13.38,0,0,13.38
111001106,Gupisone 5mg 20tab,6024,541042,8/1/2030,1,8.45,8.45,8.45,8.45,6.69,6.69,0,0,6.69
111001108,Gynera 21tab,KT0LK2F,545662,8/1/2030,5,17.65,88.25,17.65,88.25,14.71,73.55,0,0,73.55
111001109,Gyno Coryl Ovules 150mg   ×   3,234006,545108,8/1/2030,2,18.2,36.4,15.17,30.34,15.17,30.34,0,0,30.34
111001111,Gyno daktarin 2%vag cream,njb2l00,516825,8/1/2030,2,25.2,50.4,25.2,50.4,21,42,0,0,42
111001111,Gyno daktarin 2%vag cream,ndb2z00,545130,8/1/2030,2,25.2,50.4,21,42,21,42,0,0,42
111001115,Gyno Mikazol 200mg 7 vaginal Ovls,4464,541044,8/1/2030,2,21.95,43.9,21.95,43.9,15.37,30.73,0,0,30.73
111001117,Gyno Mikozal 400mg vag ovls,5149,549289,8/1/2030,9,18.25,164.25,18.25,164.25,11.71,105.4,0,0,105.4
111004165,Gyno-Candizol 400mg 3 ovule,441j,523971,8/1/2030,3,11,33,11,33,7.06,21.18,0,0,21.18
121016071,H.S Sham 2-1 Smooth Silky 600ml,1,539307,8/1/2030,2,30,60,18.25,36.5,18.25,36.5,0.15,5.48,41.98
121016071,H.S Sham 2-1 Smooth Silky 600ml,1,448254,8/1/2030,2,30,60,30,60,19.5,39,0.15,5.85,44.85
121015931,H.S Sham Apple Fresh 600ml,1,501322,8/1/2030,1,30,30,18.25,18.25,18.25,18.25,0.15,2.74,20.99
121014519,H.S Sham Classic Clean 600ml,1,533126,8/1/2030,2,30,60,18.25,36.5,18.25,36.5,0.15,5.48,41.98
121014921,H.S Sham Hair Fall Defense 600ml,1,451150,8/1/2030,2,30,60,18.25,36.5,18.25,36.5,0.15,5.48,41.98
