Name,Avenzur Code,old names,Barcode Symbology,Brand,Retaj Code
Biosoft Plus Eye Drops 10 Ml,06420618265259,Biosoft Plus Eye Drops 10ml,code128,Biosoft,6420618265259
Ghalior Paris Blur Fix Foundation (N 621) 400372,3701340400372,Blur Fix Foundation (N 621) 400372,code128,Ghalior Paris,121019245
Ghalior Paris Blur Fix Foundation (N 622) 400389,3701340400389,Blur Fix Foundation (N 622) 400389,code128,Ghalior Paris,121019246
Ghalior Paris Blur Fix Foundation (N 623) 400396,3701340400402,Blur Fix Foundation (N 623) 400396,code128,Ghalior Paris,121019247
Ghalior Paris Blur Fix Foundation (N 624) 400402,3701340400396,Blur Fix Foundation (N 624) 400402,code128,Ghalior Paris,121019248
Ghalior Paris Blur Flx Correceur (N01) 400495,3701340400495,Blur flx Correceur (N01) 400495,code128,Ghalior Paris,121019251
Ghalior Paris Blur Flx Correceur (N02) 400501,3701340400501,Blur flx Correceur (N02) 400501,code128,Ghalior Paris,121019252
Ghalior Paris Blur Flx Correceur (N03) 400570,3701340400570,Blur flx Correceur (N03) 400570,code128,Ghalior Paris,121019253
Ghalior Paris Blur Flx Correceur (N04) 400587,3701340400587,Blur flx Correceur (N04) 400587,code128,Ghalior Paris,121019254
Ghalior Paris Blur Primer (Org)401294,3701340401294,Blur Primer (org)401294,code128,Ghalior Paris,121019255
Bourjois Air Mat,3052503155807,Bourjois Air Mat,code128,Bourjois,121018811
Bourjois Health Mix Powder 10 Gm,3614224440541,Bourjois Health Mix Powder 10g,code128,Bourjois,121018815
Bourjois Healthy Mix Foundation,3614222986089,Bourjois Healthy Mix Foundation,code128,Bourjois,121018812
Braun Bp 5900 Blood Pressure Monitor Exact Fit Plus,4022167116505,Braun BP 5900 Blood Pressure Monitor Exact Fit Plus,code128,Braun,151001470
Brufen 400 Mg 25 Tab,08002660034700,Brufen 400mg 25tab,code128,Brufen,8002660016492
Brufen 600 Mg 30 Tab,08002660016508,Brufen 600mg 30tab,code128,Brufen,8002660016508
Buscopan 10 Mg 20 Tab,06285088002243,Buscopan 10mg 20tab,code128,Buscopan,6285088002243
Ghalior Paris Camouflage Foundation 2 (N 511) Org 400327,3701340400327,Camouflage Foundation 2 (N.511) org 400327,code128,Ghalior Paris,121019376
Ghalior Paris Camouflage Foundation 2 (N 512) Org 400334,3701340400334,Camouflage Foundation 2 (N.512) org 400334,code128,Ghalior Paris,121019377
Ghalior Paris Camouflage Foundation 2 (N 513) Org 400341,3701340400341,Camouflage Foundation 2 (N.513) org 400341,code128,Ghalior Paris,121019378
Ghalior Paris Camouflage Foundation 2 (N 514) Org 400358,3701340400358,Camouflage Foundation 2 (N.514) org 400358,code128,Ghalior Paris,121019379
Canesten 1 Vag 500 Mg 1 Tab,06285074000352,Canesten 1 vag 500mg 1tab,code128,Canesten,6285074000352
Canesten 1 Vag 5 Gm Cream,06285074000345,Canesten 1 vag 5gm cream,code128,Canesten,6285074000345
Canesten 1% Solution 20 Ml,06285074000321,Canesten 1% Solution 20 ml,code128,Canesten,6285074000321
Canesten Vag 100 Mg 6 Tab,06285074000338,Canesten vag 100 mg 6 tabs,code128,Canesten,6285074000338
Cantu Conditioner For Kids 237 Ml,817513015472,Cantu Conditioner For Kids 237m,code128,Cantu,121019417
Cantu Shea Btr For Nat Hr Gel 370 Gm,817513010057,Cantu Shea/Btr For Nat Hr Gel 370gm,code128,Cantu,817513000000
Carefree Cotton Unscented 56 Pads,3574660322590,Carefree Cotton Unscented 56,code128,Carefree,143000330
Catafast 50 Mg 9 Sachets,07612797011409,Catafast 50 Mg 9 Sachets,code128,Catafast,7612797011409
Cataflam 50 Mg 20 Tab,07612797246092,Cataflam 50mg 20 tabs,code128,Cataflam,7612797246085
Cellucor C4 Fruit Punch Pre Workout 30 Serving,810390029433,Cellucor C4 Fruit Punch Pre Workout 30 Servings,code128,Cellucor,810390000000
Centrum Lutein 100 Tab,05415062001509,Centrum Lutein 100 Tab,code128,Centrum,6286740000027
Centrum Silver 100 Tab,05415062001523,Centrum Silver 100 Tab,code128,Centrum,6286740000041
Centrum Silver 30 Tab,05415062001516,Centrum Silver 30 Tab,code128,Centrum,5415062001523
Cerave Foaming Cleanser 236 Ml,3337875597197,Cerave Foaming Cleanser 236ml,code128,CeraVe,121019099
Cerave Foaming Facial Cleanser 473 Ml,3337875597357,Cerave Foaming Facial Cleanser 473ml,code128,CeraVe,121019802
Cerave Hydrating Cleanser 473 Ml,3337875597333,Cerave Hydrating Cleanser 473ml,code128,CeraVe,121019103
Cerave Hydrating Cleanser 236 Ml,3337875597180,Cerave Hydrating Cleanser 8oz 236ml,code128,CeraVe,121019983
Cerave Moisturising Cream 454 Gm,3337875597388,Cerave Moisturising Cream 454gm,code128,CeraVe,121019104
Cerave Moisturising Lotion 236 Ml,3337875597210,Cerave Moisturising Lotion 236ml,code128,CeraVe,121019100
Cerave Moisturising Lotion 473 Ml,3337875597395,Cerave Moisturising Lotion 473ml,code128,CeraVe,121019102
Cerave Sa Smoothing Cream 340 Ml,3337875684101,Cerave Sa Smoothing Cream 340ml,code128,CeraVe,121019474
Cerelac Fruits 1000 Gm,8445290341334,Cerelac Fruits 1000 gm,code128,Cerelac,131000049
Cetaphil Baby Massage Oil 300 Ml,7613035392502,Cetaphil Baby Massage Oil 300ml,code128,Cetaphil,121017504
Cetaphil Lip Balm Spf50 8 Ml,3499320013475,Cetaphil Lip Balm SPF50 8ml,code128,Cetaphil,121016447
Cetaphil Moist Cream 450 Gm,3499320011914,Cetaphil Moist Cream 450 GM Jar,code128,Cetaphil,111002737
Cetaphil Oily Skin Cleanser 125 Ml,111003017,Cetaphil Oily Skin Cleanser 125ml,code128,Cetaphil,3499320011921
Cetaphil Oily Skin Cleanser 236 Ml,111003546,Cetaphil Oily Skin Cleanser 236ml,code128,Cetaphil,3499320012423
Chi Keratin Silk Infusion 177 Ml,633911804049,Chi Keratin Silk Infusion 177ml,code128,CHI,633912000000
Cialis 20 Mg Bx 4 Tab,06281086650028,Cialis 20mg tabs  bx/4,code128,Cialis,6281086650028
Clara 10 Mg 10 Tab,06285128000260,Clara 10mg 10 tabs,code128,Clara,6285128000260
Clara 5Mg Syrup 100 Ml,06285128002653,Clara 5mg/5ml Syrup 100ml,code128,Clara,6285128002653
Clarinase 14 Tab,06285074001083,Clarinase 14tab,code128,Clarinase,111000544
Claritine 10 Mg 10 Tab,06281086000519,Claritine 10mg 10 tab,code128,Claritine,6281086000519
Claritine Syp 5Mg 100 Ml,06281086000557,Claritine Syp 5mg/5ml  100ml,code128,Claritine,6281086000557
Close Up TP Cool Breeze (Bl) 120 Ml,6221155039637,Close-up T.P Cool Breeze (bl) 120ml,code128,Close up,121000578
Cobal 500 Mg Tab,06251154040013,Cobal 500mg Tab,code128,Cobal,6251154040013
Cococare Cocoa Butter Lotion 470 Ml,121020713,Cococare Cocoa Butter Lotion 470ml,code128,CocoCare,75707090500
Colgate Optic White TP 75 Ml,8718951286450,Colgate Optic White T.P 75ml,code128,Colgate,121013685
Colgate Plax Fresh Mint MW 500 Ml,8850006304839,Colgate Plax Fresh Mint M/W 500 ml,code128,Colgate,121000625
Colgate T P Sensitive Pro Relief Whitening 75 Ml,7891024124253,Colgate T.P Sensitive Pro - Relief Whitening 75ml,code128,Colgate,121014904
Colgate T P Sensitive Pro Relief Repair Prevent 75 Ml,8718951079205,Colgate T.P Sensitive Pro Relief Repair Prevent 75ml,code128,Colgate,121019408
Coli Urinal Granules 60 Gm,06221035401059,Coli-urinal granules 60g,code128,Coli Urinal,6221035401059
Ghalior Paris Concealer Comouflage (N 301) Org 400273,3701340400273,Concealer Comouflage (N.301) org 400273,code128,Ghalior Paris,121019358
Ghalior Paris Concealer Comouflage (N 302) Org 400280,3701340400280,Concealer Comouflage (N.302) org 400280,code128,Ghalior Paris,121019359
Ghalior Paris Concealer Comouflage (N 303) Org 400297,3701340400297,Concealer Comouflage (N.303) org 400297,code128,Ghalior Paris,121019360
Contractubex Comp Gel 50 Gm,04046222312046,Contractubex  Comp Gel 50g,code128,Contractubex,4046222312046
Corega Cleanser Full Denture 36S 67454,9502930974259,Corega Cleanser Full Denture 36s 67454,code128,Corega,121013406
Coxicam 15 Mg 10 Tab,06281080011009,Coxicam 15mg 10tablet,code128,Coxicam,6281080011009
Croma Eye Drop 10 Ml,06285128001274,Croma eye drop 10ml /bottle,code128,Croma,6285128001274
Arko Pharma Cupaline Caps 45 Cap,3578830110468,Cupaline Caps 45 Cap,code128,Arko Pharma,111000617
Cystine B6 Zinc Biorga,3660398501472,Cystine B6 Zinc Biorga,code128,Cystine,111003893
Daktarin Oral Gel,05413868100068,Daktarin Oral Gel,code128,Daktarin,5413868100068
Dapox 60 Mg 4 Tab,06285128012973,Dapox 60 mg 4 Tab,code128,Dapox,6285128012973
Decozal 0.1% Nose Drops,06251151000270,Decozal 0.1% nose drops,code128,Decozal,6251151000270
Decozal Metered Dose Nasal Spray Colds,06251151000850,Decozal metered dose nasal spray colds,code128,Decozal,6251151000850
Deflat Drops 40 Mg 1 Ml,06251600001667,Deflat drops 40mg 1ml  ,code128,Deflat,6251600000349
Deflat Tab,06251600000332,Deflat Tab,code128,Deflat,6251600000332
Delaxin 30 Mg 30 Cap,06285101003608,Delaxin 30mg 30 cap,code128,Delaxin,6285101003608
Derma T Solution 30 Ml,06285147000876,Derma T( Solution) 30ml,code128,Derma T,6285147000876
Dermatin Solution 20 Ml,06223000011386,Dermatin Solution 20ml,code128,Dermatin,6223000011386
Dermovate 25 Gm Cream,06285097000223,Dermovate 25gm cream,code128,Dermovate,6285097000223
Dermovate 25 Gm Oint,06285097000230,Dermovate 25gm oint,code128,Dermovate,6285097000230
Deslin 2.5 Mg 5Ml Oral Solution 150 Ml,06285312000021,Deslin 2.5mg/5ml Oral Solution 150ml,code128,Deslin,6285312000021
Deslor 5Mg 20 Tab,06285128000987,Deslor 5mg 20Tab,code128,Deslor,6285128000987
Dettol Anti Bacterial Skin Care Wipes 40 Pcs,6295120026373,Dettol Anti Bacterial Skin Care Wipes 40p,code128,Dettol,121016801
Dettol Anti Bacterial Wipes 80 Pcs,6001106110185,Dettol Anti Bacterial Wipes 80p,code128,Dettol,121000893
Dettol Shower Gel Fresh 250 Ml+Puff,6001106109370,Dettol Shower Gel Fresh 250ml+Puff,code128,Dettol,121000935
Dettol Surface Spray 450 Mg,6295120023839,Dettol Surface Spray 450mg,code128,Dettol,121005793
Devarin 20 Mg 4 Tab,08430469169741,Devarin 20mg 4 Tab,code128,Devarin,8430469169741
Dewax Ear Drops 10 Ml,06251151000331,Dewax ear drops 10 ml,code128,Dewax,6251151000331
Dicetel 50 Mg 20 Tab,08002660016331,Dicetel 50mg tab 20,code128,Dicetel,8002660016331
Diclac 75 Mg Id 20 Tab,04030855450275,Diclac 75 Mg ID 20 Tab,code128,Diclac,111002968
Diclogesic Retard 100 Mg 10 Tab,06251107014016,Diclogesic Retard 100mg 10 tabs,code128,Diclogesic,6251107014016
Diclomax 50 Mg 20 Tab,06285101000041,Diclomax 50mg 20 tab,code128,Diclomax,6285101000041
Diclomax Emulgel,06285101000751,Diclomax Emulgel,code128,Diclomax,6285101000751
Diclopid 50 Mg 20 Tab,06285105000337,Diclopid 50 mg 20 Tab,code128,Diclopid,6285105000337
Differen 30 Gm Cream,03499320003605,Differen 30gm cream,code128,Differen,3499320010832
